date,kuching,bau,lundu,kota-samarahan,asajaya,simunjan,serian,tebedu,sri-aman,lubok-antu,betong,saratok,pusa,kabong,sarikei,meradong,julau,pakan,sibu,kanowit,selangau,mukah,dalat,matu,daro,tanjung-manis,bintulu,tatau,sebauh,kapit,belaga,song,bukit-mabong,miri,marudi,subis,beluru,telung-usan,limbang,lawas
24/3/2020,44,0,0,2,0,1,2,0,0,0,7,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,6,1
25/3/2020,45,0,0,2,0,1,2,0,0,0,7,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,6,1
26/3/2020,52,0,0,3,0,1,2,0,0,0,7,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,6,1
27/3/2020,66,0,0,4,0,1,2,0,0,0,7,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,6,1
28/3/2020,72,0,0,4,0,1,3,0,0,0,8,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,6,1
29/3/2020,78,0,0,9,0,1,3,0,0,0,8,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,6,1
30/3/2020,81,0,0,9,0,1,3,0,0,0,9,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,6,1
31/3/2020,97,0,0,11,0,1,4,0,1,0,9,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,6,1
1/4/2020,128,0,0,12,0,1,4,0,1,0,9,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,6,1
2/4/2020,141,0,0,20,0,1,4,0,1,0,11,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,6,1
3/4/2020,153,0,0,25,0,1,5,0,1,0,11,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,7,1
4/4/2020,155,0,0,30,0,1,5,0,1,0,11,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,7,1
5/4/2020,165,0,0,36,0,1,6,0,1,0,13,0,0,0,6,0,0,0,4,0,0,1,0,1,0,0,5,0,0,0,0,0,0,14,0,0,0,0,7,1
6/4/2020,174,0,0,36,0,1,7,0,1,0,14,0,0,0,6,0,0,0,4,0,0,1,0,1,0,0,6,0,0,0,0,0,0,14,0,0,0,0,7,1
7/4/2020,182,0,0,42,0,1,7,0,1,0,14,0,0,0,6,0,0,0,4,0,0,1,0,1,0,0,6,0,0,0,0,0,0,15,0,0,0,0,7,1
8/4/2020,192,0,0,45,0,2,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,6,0,0,0,0,0,0,15,0,0,0,0,8,1
9/4/2020,196,0,0,45,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,7,0,0,0,0,0,0,15,0,0,0,0,8,1
10/4/2020,209,0,0,46,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1
11/4/2020,215,0,0,47,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1
12/4/2020,221,0,0,49,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1
13/4/2020,227,0,0,49,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1
14/4/2020,240,0,0,51,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1
15/4/2020,245,0,0,54,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1
16/4/2020,255,0,0,55,0,3,9,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,9,0,0,0,0,0,0,17,0,0,0,0,8,1
17/4/2020,258,0,0,59,0,3,9,0,1,0,17,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,9,0,0,0,0,0,0,19,0,0,0,0,8,1
18/4/2020,257,1,0,61,2,5,10,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,9,0,0,0,0,0,0,19,0,0,0,0,8,1
19/4/2020,260,1,0,62,2,5,10,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,9,0,0,0,0,0,0,19,0,0,0,0,8,1
20/4/2020,264,1,0,62,2,5,10,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,19,0,0,0,0,8,1
21/4/2020,280,1,0,68,2,5,11,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,19,0,0,0,0,8,1
22/4/2020,285,1,0,77,2,5,13,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,20,0,0,0,0,8,1
23/4/2020,285,2,0,78,3,6,13,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,21,0,0,0,0,8,1
24/4/2020,297,2,0,82,3,7,14,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,22,0,0,0,0,8,1
25/4/2020,297,2,0,82,3,7,14,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,22,0,0,0,0,8,1
26/4/2020,299,2,0,86,3,7,14,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,23,0,0,0,0,8,1
27/4/2020,300,2,0,87,3,7,13,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,1,0,12,0,0,0,0,0,0,23,0,0,0,0,8,1
28/4/2020,305,2,0,89,3,7,13,1,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
29/4/2020,307,2,0,90,3,7,15,1,3,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
30/4/2020,312,2,0,90,3,7,15,1,3,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
1/5/2020,314,2,0,90,3,7,15,1,3,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
2/5/2020,316,5,0,92,3,7,17,1,3,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
3/5/2020,317,5,0,95,3,7,17,1,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
4/5/2020,317,5,0,95,3,7,17,1,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
5/5/2020,317,5,0,97,3,7,17,1,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
6/5/2020,324,5,0,99,3,7,17,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
7/5/2020,325,5,0,98,3,7,17,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
8/5/2020,326,5,1,98,3,7,17,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
9/5/2020,326,5,1,98,3,7,17,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
10/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
11/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
12/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
13/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
14/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
15/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
16/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
17/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
18/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
19/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
20/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
21/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
22/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
23/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
24/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
25/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
26/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
27/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
28/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
29/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
30/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
31/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
