date,baling,kota setar,kuala muda,kubang pasu,kulim,langkawi,padang terap,pendang,bandar bahru,sik,yan
18/4/2020,0,2,2,1,3,1,1,0,1,0,0
19/4/2020,0,2,2,1,3,1,1,0,1,0,0
20/4/2020,0,2,2,1,3,1,1,0,1,0,0
21/4/2020,0,1,1,1,3,0,1,0,0,0,0
22/4/2020,0,1,1,1,3,0,1,0,0,0,0
23/4/2020,0,1,1,1,3,0,1,0,0,0,0
24/4/2020,0,1,1,1,3,0,1,0,0,0,0
25/4/2020,0,1,1,1,3,0,1,0,0,0,0
26/4/2020,0,1,1,1,3,0,1,0,0,0,0
27/4/2020,0,2,1,1,0,1,0,0,0,0,0
28/4/2020,0,2,1,1,0,1,0,0,0,0,0
29/4/2020,0,0,0,0,0,0,0,0,0,0,0
30/4/2020,0,0,0,0,0,0,0,0,0,0,0
1/5/2020,0,0,0,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0,0,0,0,0
4/5/2020,0,0,0,0,0,0,0,0,0,0,0
5/5/2020,0,0,0,0,0,0,0,0,0,0,0
6/5/2020,0,0,0,0,0,0,0,0,0,0,0
7/5/2020,0,0,0,0,0,0,0,0,0,0,0
8/5/2020,0,0,0,0,0,0,0,0,0,0,0
9/5/2020,0,0,0,0,0,0,0,0,0,0,0
10/5/2020,0,0,0,0,0,0,0,0,0,0,0
11/5/2020,0,0,0,0,0,0,0,0,0,0,0
12/5/2020,0,0,0,0,0,0,0,0,0,0,0
13/5/2020,0,0,0,0,0,0,0,0,0,0,0
14/5/2020,0,0,0,0,0,0,0,0,0,0,0
15/5/2020,0,0,0,0,0,0,0,0,0,0,0
16/5/2020,0,0,0,0,0,0,0,0,0,0,0
17/5/2020,0,0,0,0,0,0,0,0,0,0,0
18/5/2020,0,0,0,0,0,0,0,0,0,0,0
19/5/2020,0,0,0,0,0,0,0,0,0,0,0
20/5/2020,0,0,0,0,0,0,0,0,0,0,0
21/5/2020,0,0,0,0,0,0,0,0,0,0,0
22/5/2020,0,0,0,0,0,0,0,0,0,0,0
23/5/2020,0,0,0,0,0,0,0,0,0,0,0
24/5/2020,0,0,0,0,0,0,0,0,0,0,0
25/5/2020,0,0,0,0,0,0,0,0,0,0,0
26/5/2020,0,0,0,0,0,0,0,0,0,0,0
27/5/2020,0,0,0,0,0,0,0,0,0,0,0
28/5/2020,0,0,0,0,0,0,0,0,0,0,0
29/5/2020,0,0,0,1,0,0,0,0,0,0,0
30/5/2020,0,0,0,1,0,0,0,0,0,0,0
31/5/2020,0,0,0,1,0,0,0,0,0,0,0
1/6/2020,0,0,0,1,0,0,0,0,0,0,0
2/6/2020,0,0,0,1,0,0,0,0,0,0,0
3/6/2020,0,0,0,1,0,0,0,0,0,0,0
4/6/2020,0,0,0,1,0,0,0,0,0,0,0
5/6/2020,0,0,0,0,0,0,0,0,0,0,0
6/6/2020,0,0,0,0,0,0,0,0,0,0,0
7/6/2020,0,0,0,0,0,0,0,0,0,0,0
8/6/2020,0,0,0,0,0,0,0,0,0,0,0
9/6/2020,0,0,0,0,0,0,0,0,0,0,0
10/6/2020,0,0,0,0,0,0,0,0,0,0,0
11/6/2020,0,0,0,0,0,0,0,0,0,0,0
12/6/2020,0,0,0,0,0,0,0,0,0,0,0
13/6/2020,0,0,0,0,0,0,0,0,0,0,0
14/6/2020,0,0,0,0,0,0,0,0,0,0,0
15/6/2020,0,0,0,0,0,0,0,0,0,0,0
16/6/2020,0,0,0,0,0,0,0,0,0,0,0
17/6/2020,0,0,0,0,0,0,0,0,0,0,0
18/6/2020,0,0,0,0,0,0,0,0,0,0,0
19/6/2020,0,0,0,0,0,0,0,0,0,0,0
20/6/2020,0,0,0,0,0,0,0,0,0,0,0
21/6/2020,0,0,0,0,0,0,0,0,0,0,0
22/6/2020,0,0,0,0,0,0,0,0,0,0,0
23/6/2020,0,0,0,0,0,0,0,0,0,0,0
24/6/2020,0,0,0,0,0,0,0,0,0,0,0
25/6/2020,0,0,0,0,0,0,0,0,0,0,0
26/6/2020,0,0,0,0,0,0,0,0,0,0,0
27/6/2020,0,0,0,0,0,0,0,0,0,0,0
28/6/2020,0,0,0,0,0,0,0,0,0,0,0
29/6/2020,0,0,0,0,0,0,0,0,0,0,0
30/6/2020,0,0,0,0,0,0,0,0,0,0,0
1/7/2020,0,0,0,0,0,0,0,0,0,0,0
2/7/2020,0,0,0,0,0,0,0,0,0,0,0
3/7/2020,0,0,0,0,0,0,0,0,0,0,0
4/7/2020,0,0,0,0,0,0,0,0,0,0,0
5/7/2020,0,0,0,0,0,0,0,0,0,0,0
6/7/2020,0,0,0,0,0,0,0,0,0,0,0
7/7/2020,0,0,0,0,0,0,0,0,0,0,0
8/7/2020,0,0,0,0,0,0,0,0,0,0,0
9/7/2020,0,0,0,0,0,0,0,0,0,0,0
10/7/2020,0,0,0,0,0,0,0,0,0,0,0
11/7/2020,0,0,0,0,0,0,0,0,0,0,0
12/7/2020,0,0,0,0,0,0,0,0,0,0,0
13/7/2020,0,0,0,0,0,0,0,0,0,0,0
14/7/2020,0,0,0,0,0,0,0,0,0,0,0
15/7/2020,0,0,0,0,0,0,0,0,0,0,0
16/7/2020,0,0,0,0,0,0,0,0,0,0,0
17/7/2020,0,0,0,0,0,0,0,0,0,0,0
18/7/2020,0,0,0,0,0,0,0,0,0,0,0
19/7/2020,0,0,0,0,0,0,0,0,0,0,0
20/7/2020,0,0,0,0,0,0,0,0,0,0,0
21/7/2020,0,0,0,0,0,0,0,0,0,0,0
22/7/2020,0,0,0,0,0,0,0,0,0,0,0
23/7/2020,0,0,0,0,0,0,0,0,0,0,0
24/7/2020,0,0,0,0,0,0,0,0,0,0,0
25/7/2020,0,0,0,0,0,0,0,0,0,0,0
26/7/2020,0,0,0,0,0,0,0,0,0,0,0
27/7/2020,0,0,0,0,0,0,0,0,0,0,0
28/7/2020,0,0,0,6,0,0,0,0,0,0,0
29/7/2020,0,0,0,5,0,0,0,0,0,0,0
30/7/2020,0,0,0,5,0,0,0,0,0,0,0
31/7/2020,0,0,0,7,0,0,0,0,0,0,0
1/8/2020,0,0,0,7,0,0,0,0,0,0,0
2/8/2020,0,0,0,15,0,0,4,0,0,0,0
3/8/2020,0,0,0,16,0,0,4,0,0,0,0
4/8/2020,0,0,0,16,0,0,4,0,0,0,0
5/8/2020,0,0,0,19,1,1,4,0,0,0,0
6/8/2020,0,0,0,19,1,1,4,0,0,0,0
7/8/2020,0,0,0,20,7,0,4,0,0,0,0
8/8/2020,0,0,0,20,7,0,4,0,0,0,0
9/8/2020,0,0,0,20,7,0,4,0,0,0,0
10/8/2020,0,0,0,20,7,0,4,0,0,0,0
11/8/2020,0,0,0,20,7,0,4,0,0,0,0
12/8/2020,1,0,1,20,7,0,4,0,0,0,0
13/8/2020,8,0,2,20,8,0,4,0,0,0,0
14/8/2020,12,0,9,20,8,0,4,0,0,0,1
15/8/2020,13,1,9,20,17,0,4,0,0,0,4
16/8/2020,13,1,14,20,17,0,4,0,0,0,4
17/8/2020,13,3,14,10,21,0,0,0,0,0,4
18/8/2020,13,3,16,7,21,0,0,0,0,0,4
19/8/2020,14,3,19,7,24,0,0,0,0,0,4
20/8/2020,14,3,19,7,24,0,0,0,0,0,4
21/8/2020,15,3,21,6,18,0,0,0,0,0,4
22/8/2020,18,3,22,6,18,0,0,0,0,1,4
23/8/2020,20,3,22,6,18,0,0,0,0,1,4
24/8/2020,20,3,22,6,18,0,0,0,0,1,4
25/8/2020,20,4,28,5,18,0,0,0,0,1,4
26/8/2020,20,6,30,0,18,0,0,0,0,1,4
27/8/2020,14,5,25,0,18,0,0,0,0,1,4
28/8/2020,9,4,25,0,13,0,1,0,0,1,4
29/8/2020,8,4,22,0,13,0,1,0,0,1,1
30/8/2020,8,3,18,1,9,0,1,0,0,1,1
31/8/2020,7,2,18,1,6,0,1,0,0,1,1
1/9/2020,7,3,16,1,3,0,1,0,0,1,1
2/9/2020,7,3,16,1,3,0,1,0,0,1,1
3/9/2020,6,4,17,1,3,0,1,0,0,1,1
4/9/2020,6,5,17,1,3,0,1,0,0,1,1
5/9/2020,1,6,16,1,3,0,1,0,0,0,1
6/9/2020,1,6,16,1,3,0,1,0,0,0,1
7/9/2020,1,10,15,1,1,0,1,0,0,0,1
8/9/2020,1,29,7,3,1,0,1,0,0,0,1
9/9/2020,1,43,8,4,1,0,1,0,0,0,1
10/9/2020,1,47,8,4,1,0,1,0,0,0,1
11/9/2020,1,55,8,10,1,0,0,0,0,0,1
12/9/2020,1,56,8,14,1,0,0,0,0,0,1
13/9/2020,1,56,19,14,1,0,0,0,0,0,1
14/9/2020,1,56,17,14,1,0,0,0,0,0,1
15/9/2020,1,56,17,14,1,0,0,0,0,0,1
16/9/2020,1,67,14,15,1,0,0,0,0,0,0
17/9/2020,1,61,14,15,1,0,0,0,0,0,0
18/9/2020,1,60,14,15,1,0,0,0,0,0,0
19/9/2020,1,71,14,11,0,1,0,0,0,0,0
20/9/2020,1,72,14,11,0,1,0,0,0,0,0
21/9/2020,1,64,0,11,0,1,0,0,0,0,0
22/9/2020,1,68,0,11,0,1,0,0,0,0,0
23/9/2020,0,57,0,15,0,1,0,0,0,0,0
24/9/2020,0,57,0,15,0,1,0,0,0,0,0
25/9/2020,0,57,0,15,0,1,0,0,0,0,0
26/9/2020,0,56,0,10,0,1,0,0,0,0,0
27/9/2020,0,54,0,9,0,1,0,0,0,0,0
28/9/2020,0,55,0,9,0,1,0,0,0,0,0
29/9/2020,1,47,0,6,0,1,0,0,0,0,0
30/9/2020,6,47,2,8,0,1,0,0,0,1,0
1/10/2020,6,135,7,5,1,4,0,0,0,1,0
2/10/2020,6,258,7,5,2,3,0,0,0,1,0
3/10/2020,6,349,7,4,3,4,0,1,0,1,1
4/10/2020,6,446,8,5,3,4,0,1,0,1,1
5/10/2020,7,669,8,20,3,4,0,2,0,1,1
6/10/2020,7,1123,8,32,3,4,0,2,0,1,2
7/10/2020,7,1187,8,36,4,4,0,3,0,1,2
8/10/2020,7,1200,9,37,4,4,0,3,0,1,2
9/10/2020,7,1200,9,37,4,4,0,3,0,1,2
10/10/2020,8,1230,6,37,6,4,0,3,0,1,2
11/10/2020,15,1236,7,36,5,4,0,2,0,0,1
12/10/2020,19,1229,8,38,5,4,0,1,0,0,1
13/10/2020,22,1280,6,39,5,2,0,2,0,0,1
14/10/2020,30,1367,21,39,5,0,0,2,0,0,1
15/10/2020,32,1394,23,39,5,0,0,2,0,0,1
16/10/2020,32,1185,23,39,4,0,0,2,0,0,1
17/10/2020,33,967,22,39,4,0,0,2,1,0,1
18/10/2020,38,759,22,36,4,0,0,2,1,0,1
19/10/2020,33,745,21,27,2,0,1,1,1,0,1
20/10/2020,35,756,22,20,4,0,1,1,1,0,1
21/10/2020,35,588,24,20,2,0,1,1,1,0,0
22/10/2020,39,517,24,20,2,0,1,1,1,0,0
23/10/2020,38,504,23,17,1,0,1,1,1,0,0
24/10/2020,30,564,23,18,1,0,1,1,1,0,0
25/10/2020,18,542,23,16,1,0,1,0,1,0,0
26/10/2020,27,308,20,15,1,0,1,0,3,0,0
27/10/2020,21,259,20,14,1,0,1,0,3,0,0
28/10/2020,7,187,19,13,1,0,1,0,6,0,0
29/10/2020,7,152,5,14,1,0,0,0,8,0,0
30/10/2020,7,152,5,14,1,0,0,0,9,0,0
31/10/2020,6,148,3,17,1,0,0,0,9,0,0
1/11/2020,1,149,3,17,1,0,0,0,9,0,0
2/11/2020,2,89,2,6,1,0,0,0,9,0,0
3/11/2020,2,94,2,8,5,0,0,0,9,1,0
4/11/2020,1,99,1,12,6,3,0,0,13,4,0
