date,jelebu,jempol,kuala pilah,port dickson,rembau,seremban,tampin
18/4/2020,0,3,1,0,4,131,1
19/4/2020,0,3,1,0,4,131,1
20/4/2020,0,3,1,0,4,131,1
21/4/2020,0,0,0,0,0,100,0
22/4/2020,0,0,0,0,0,100,0
23/4/2020,0,0,0,0,0,100,0
24/4/2020,0,0,0,0,0,100,0
25/4/2020,0,0,0,0,0,100,0
26/4/2020,0,0,0,0,0,100,0
27/4/2020,0,1,0,0,0,75,0
28/4/2020,0,1,0,0,1,74,0
29/4/2020,0,1,0,0,1,57,0
30/4/2020,0,2,0,0,4,38,0
1/5/2020,0,2,0,0,4,31,0
2/5/2020,0,2,0,1,6,27,0
3/5/2020,0,2,0,1,5,45,0
4/5/2020,0,2,0,1,5,45,0
5/5/2020,0,2,0,1,5,45,0
6/5/2020,0,2,0,1,7,37,0
7/5/2020,0,2,0,1,7,37,0
8/5/2020,0,2,0,1,59,38,0
9/5/2020,0,2,0,1,59,38,0
10/5/2020,0,2,0,3,130,35,0
11/5/2020,0,2,0,3,130,35,0
12/5/2020,0,2,1,3,130,46,0
13/5/2020,0,2,1,3,151,41,0
14/5/2020,0,2,1,2,161,37,0
15/5/2020,0,1,1,2,160,36,0
16/5/2020,0,1,1,2,160,34,0
17/5/2020,0,1,1,2,160,34,0
18/5/2020,0,1,1,2,160,34,0
19/5/2020,0,1,1,2,160,34,0
20/5/2020,0,1,1,2,160,34,0
21/5/2020,0,1,1,2,160,34,0
22/5/2020,0,1,1,2,160,34,0
23/5/2020,0,1,1,2,160,34,0
24/5/2020,0,1,1,2,160,34,0
25/5/2020,0,1,1,2,160,34,0
26/5/2020,0,1,1,2,160,34,0
27/5/2020,0,1,1,2,160,34,0
28/5/2020,0,1,1,2,160,34,0
29/5/2020,0,0,0,0,83,18,0
30/5/2020,0,0,0,0,84,19,0
31/5/2020,0,0,1,0,57,4,1
1/6/2020,0,0,1,0,57,4,1
2/6/2020,0,0,1,0,58,4,1
3/6/2020,0,0,1,0,58,4,1
4/6/2020,0,0,1,0,58,4,1
5/6/2020,0,0,1,0,94,3,1
6/6/2020,0,0,1,0,94,3,1
7/6/2020,0,0,1,0,94,3,1
8/6/2020,0,0,1,0,94,3,1
9/6/2020,0,0,1,0,94,3,1
10/6/2020,0,0,1,0,94,3,1
11/6/2020,0,0,1,0,94,3,1
12/6/2020,0,0,1,0,94,3,1
13/6/2020,0,0,1,0,94,3,1
14/6/2020,0,0,0,0,62,5,1
15/6/2020,0,0,0,0,77,5,0
16/6/2020,0,0,0,0,79,5,0
17/6/2020,0,0,0,0,43,5,0
18/6/2020,0,0,0,0,43,4,0
19/6/2020,0,1,0,0,43,4,0
20/6/2020,0,1,0,0,38,5,0
21/6/2020,0,1,0,0,44,4,0
22/6/2020,0,1,0,0,56,4,0
23/6/2020,0,1,0,0,57,4,0
24/6/2020,0,1,0,0,57,4,0
25/6/2020,0,1,0,0,57,4,0
26/6/2020,0,1,0,0,37,4,0
27/6/2020,0,1,0,0,37,1,1
28/6/2020,0,1,0,0,46,1,1
29/6/2020,0,1,0,0,31,1,1
30/6/2020,0,1,0,0,28,1,1
1/7/2020,0,1,0,0,28,1,1
2/7/2020,0,1,0,0,28,1,1
3/7/2020,0,0,0,0,28,1,1
4/7/2020,0,0,0,0,28,0,1
5/7/2020,0,0,0,0,22,1,1
6/7/2020,0,0,0,0,10,1,1
7/7/2020,0,0,0,0,9,1,1
8/7/2020,0,0,0,0,9,1,1
9/7/2020,0,0,0,0,9,1,1
10/7/2020,0,0,0,0,9,1,1
11/7/2020,0,0,0,0,9,1,0
12/7/2020,0,0,0,0,0,1,0
13/7/2020,0,0,0,0,0,1,0
14/7/2020,0,0,0,0,0,1,0
15/7/2020,0,0,0,0,0,1,0
16/7/2020,0,0,0,0,0,1,0
17/7/2020,0,0,0,0,0,1,0
18/7/2020,0,0,0,0,0,1,0
19/7/2020,0,0,0,0,0,0,0
20/7/2020,0,0,0,0,0,1,0
21/7/2020,0,0,0,0,0,1,0
22/7/2020,0,0,0,0,0,1,0
23/7/2020,0,0,0,0,0,1,0
24/7/2020,0,0,0,0,0,1,0
25/7/2020,0,0,0,0,0,1,0
26/7/2020,0,0,0,0,0,1,0
27/7/2020,0,0,0,0,0,1,0
28/7/2020,0,0,0,0,0,1,0
29/7/2020,0,0,0,0,0,1,0
30/7/2020,0,0,0,0,0,1,0
31/7/2020,0,0,0,0,0,2,0
1/8/2020,0,0,0,0,0,2,0
2/8/2020,0,0,0,0,0,2,0
3/8/2020,0,0,0,0,0,2,0
4/8/2020,0,0,0,0,0,1,0
5/8/2020,0,0,0,0,0,2,0
6/8/2020,0,0,0,0,0,2,0
7/8/2020,0,1,0,0,0,2,0
8/8/2020,0,1,0,0,0,3,0
9/8/2020,0,1,0,0,0,3,0
10/8/2020,0,1,0,0,0,3,0
11/8/2020,0,1,0,0,0,3,0
12/8/2020,0,1,0,0,0,3,0
13/8/2020,0,1,0,0,0,3,0
14/8/2020,0,1,0,0,0,2,0
15/8/2020,0,1,0,0,0,2,2
16/8/2020,0,1,0,0,0,2,2
17/8/2020,0,1,0,0,0,2,2
18/8/2020,0,1,0,0,0,2,2
19/8/2020,0,1,0,0,0,2,2
20/8/2020,0,0,0,0,0,1,2
21/8/2020,0,0,0,0,0,1,2
22/8/2020,0,0,0,0,0,0,2
23/8/2020,0,0,0,0,0,0,2
24/8/2020,0,0,0,0,0,0,2
25/8/2020,0,0,0,0,0,0,2
26/8/2020,0,0,0,0,0,0,2
27/8/2020,0,0,0,0,0,0,2
28/8/2020,0,0,0,0,0,0,2
29/8/2020,0,0,0,0,0,0,0
30/8/2020,0,0,0,0,0,0,0
31/8/2020,0,0,0,0,0,0,0
1/9/2020,0,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0,0
3/9/2020,0,0,0,0,0,0,0
4/9/2020,0,0,0,0,0,0,0
5/9/2020,0,0,0,0,0,0,0
6/9/2020,0,0,0,0,0,0,0
7/9/2020,0,0,0,0,0,0,0
8/9/2020,0,0,0,0,0,0,0
9/9/2020,0,0,0,0,0,0,0
10/9/2020,0,0,0,0,0,0,0
11/9/2020,0,0,0,0,0,0,0
12/9/2020,0,0,0,0,0,0,0
13/9/2020,0,0,0,0,0,0,0
14/9/2020,0,0,0,4,0,0,0
15/9/2020,0,0,0,4,0,0,0
16/9/2020,0,0,0,4,0,0,0
18/9/2020,0,0,0,5,0,0,0
19/9/2020,0,0,0,5,0,0,0
20/9/2020,0,0,0,5,0,0,0
21/9/2020,0,0,0,5,0,0,0
22/9/2020,0,0,0,5,0,0,0
23/9/2020,0,0,0,5,0,0,0
24/9/2020,0,0,0,5,0,0,0
25/9/2020,0,0,0,5,0,0,0
26/9/2020,0,0,0,5,0,0,0
27/9/2020,0,0,0,5,0,0,0
28/9/2020,0,0,0,1,0,0,0
29/9/2020,0,0,0,1,0,0,0
30/9/2020,0,0,0,1,0,0,0
1/10/2020,0,0,0,1,0,0,0
2/10/2020,0,0,0,0,0,0,0
3/10/2020,0,0,0,0,0,0,0
4/10/2020,0,0,0,0,0,0,0
5/10/2020,0,0,0,0,0,0,0
6/10/2020,0,0,0,0,0,0,0
7/10/2020,0,0,0,1,0,0,0
8/10/2020,0,0,0,1,0,0,0
9/10/2020,0,0,0,1,2,0,0
10/10/2020,0,0,0,1,2,0,0
11/10/2020,0,0,0,1,0,2,0
12/10/2020,0,0,0,4,0,6,0
13/10/2020,0,0,0,5,0,6,0
14/10/2020,0,0,0,5,0,7,0
15/10/2020,0,0,0,5,8,8,0
16/10/2020,0,0,0,6,8,8,0
17/10/2020,0,0,0,6,8,8,0
18/10/2020,0,0,0,6,9,9,0
19/10/2020,0,0,0,6,9,11,0
20/10/2020,0,0,0,6,9,15,0
21/10/2020,0,0,0,5,9,15,4
22/10/2020,0,0,0,5,10,50,4
23/10/2020,0,0,0,5,10,83,4
24/10/2020,0,0,0,5,10,179,4
25/10/2020,0,0,0,5,10,183,4
26/10/2020,0,0,0,2,14,203,4
27/10/2020,0,0,0,1,15,334,4
28/10/2020,0,0,0,4,15,350,4
29/10/2020,0,0,2,7,7,384,4
30/10/2020,1,0,2,6,7,390,4
31/10/2020,1,1,2,7,7,396,4
1/11/2020,1,2,2,7,6,400,4
2/11/2020,1,2,2,10,6,408,4
3/11/2020,1,2,2,11,6,461,4
4/11/2020,1,3,2,11,7,500,0
