date,batu pahat,johor bahru,kluang,kulai,mersing,muar,pontian,segamat,kota tinggi,tangkak
18/4/2020,13,75,86,23,2,23,9,12,15,9
19/4/2020,13,75,86,23,2,23,9,12,15,9
20/4/2020,13,75,86,23,2,23,9,12,15,9
21/4/2020,13,73,86,23,2,23,9,12,16,7
22/4/2020,13,73,86,23,2,23,9,12,16,7
23/4/2020,13,73,86,23,2,23,9,12,16,7
24/4/2020,13,73,86,23,2,23,9,12,16,7
25/4/2020,13,73,86,23,2,23,9,12,16,7
26/4/2020,13,73,86,23,2,23,9,12,16,7
27/4/2020,12,47,84,23,2,25,9,12,16,5
28/4/2020,12,48,84,22,2,25,9,12,16,5
29/4/2020,12,48,84,22,2,25,9,11,16,5
30/4/2020,12,47,77,22,2,25,9,11,16,5
1/5/2020,10,46,70,21,2,24,6,11,15,5
2/5/2020,10,46,70,21,2,24,6,11,15,5
3/5/2020,9,37,67,19,2,23,5,9,14,5
4/5/2020,9,37,67,19,2,23,5,9,14,5
5/5/2020,6,36,62,19,1,21,5,9,14,5
6/5/2020,6,35,58,19,1,18,5,8,12,5
7/5/2020,5,33,54,18,0,16,5,8,12,5
8/5/2020,5,28,49,18,0,15,5,7,11,5
9/5/2020,5,28,49,18,0,15,5,7,11,5
10/5/2020,5,27,41,15,0,14,5,7,10,5
11/5/2020,5,27,41,15,0,14,5,7,10,5
12/5/2020,3,26,37,15,0,14,5,5,9,3
13/5/2020,3,26,37,15,0,13,5,4,8,3
14/5/2020,3,26,37,13,0,13,5,4,8,3
15/5/2020,2,24,37,13,0,13,5,4,7,2
16/5/2020,2,23,36,13,0,12,5,3,7,2
17/5/2020,2,23,36,13,0,12,5,3,7,2
18/5/2020,2,23,36,13,0,12,5,3,7,2
19/5/2020,2,23,36,13,0,12,5,3,7,2
20/5/2020,2,23,36,13,0,12,5,3,7,2
21/5/2020,2,23,36,13,0,12,5,3,7,2
22/5/2020,2,23,36,13,0,12,5,3,7,2
23/5/2020,2,23,36,13,0,12,5,3,7,2
24/5/2020,2,23,36,13,0,12,5,3,7,2
25/5/2020,2,23,36,13,0,12,5,3,7,2
26/5/2020,2,23,36,13,0,12,5,3,7,2
27/5/2020,2,23,36,13,0,12,5,3,7,2
28/5/2020,2,23,36,13,0,12,5,3,7,2
29/5/2020,1,14,4,1,0,4,1,0,0,0
30/5/2020,1,5,4,1,0,4,2,0,0,0
31/5/2020,0,3,1,0,0,0,0,0,0,0
1/6/2020,0,3,1,0,0,0,0,0,0,0
2/6/2020,0,3,1,0,0,0,0,0,0,0
3/6/2020,0,3,1,0,0,0,0,0,0,0
4/6/2020,0,3,1,0,0,0,0,0,0,0
5/6/2020,0,3,1,0,0,0,0,0,0,0
6/6/2020,0,3,1,0,0,0,0,0,0,0
7/6/2020,0,3,1,0,0,0,0,0,0,0
8/6/2020,0,3,1,0,0,0,0,0,0,0
9/6/2020,0,3,1,0,0,0,0,0,0,0
10/6/2020,0,3,1,0,0,0,0,0,0,0
11/6/2020,0,3,1,0,0,0,0,0,0,0
12/6/2020,0,3,1,0,0,0,0,0,0,0
13/6/2020,0,3,1,0,0,0,0,0,0,0
14/6/2020,0,0,0,0,0,0,0,0,0,0
15/6/2020,0,0,0,0,0,0,0,0,0,0
16/6/2020,0,0,0,0,0,0,0,0,0,0
17/6/2020,0,0,0,0,0,0,0,0,0,0
18/6/2020,0,0,0,0,0,0,0,0,0,0
19/6/2020,0,0,0,0,0,0,0,0,0,0
20/6/2020,0,0,0,0,0,0,0,0,0,0
21/6/2020,0,1,0,0,0,0,0,0,0,0
22/6/2020,0,1,0,0,0,0,0,0,0,0
23/6/2020,0,1,0,0,0,0,0,0,0,0
24/6/2020,0,1,0,0,0,0,0,0,0,0
25/6/2020,0,1,0,0,0,0,0,0,0,0
26/6/2020,0,1,1,0,0,0,0,0,0,0
27/6/2020,0,1,1,0,0,0,0,0,0,0
28/6/2020,0,1,1,0,0,0,0,0,0,0
29/6/2020,0,1,1,0,0,0,0,0,0,0
30/6/2020,0,1,1,0,0,0,0,0,0,0
1/7/2020,0,1,1,0,0,0,0,0,0,0
2/7/2020,0,1,1,0,0,0,0,0,0,0
3/7/2020,0,1,1,0,0,0,0,0,0,0
4/7/2020,0,1,1,0,0,0,0,0,0,0
5/7/2020,0,0,1,0,0,0,0,0,0,0
6/7/2020,0,0,1,0,0,0,0,0,0,0
7/7/2020,0,0,1,0,0,0,0,0,0,0
8/7/2020,0,0,1,0,0,0,0,0,0,0
9/7/2020,0,0,0,0,0,0,0,0,0,0
10/7/2020,0,0,0,0,0,0,0,0,0,0
11/7/2020,0,0,0,0,0,0,0,0,0,0
12/7/2020,0,0,0,0,0,0,0,0,0,0
13/7/2020,0,0,0,0,0,0,0,0,0,0
14/7/2020,0,0,0,0,0,0,0,0,0,0
15/7/2020,0,0,0,0,0,0,0,0,0,0
16/7/2020,0,0,0,0,0,0,0,0,0,0
17/7/2020,0,0,0,0,0,0,0,0,0,0
18/7/2020,0,0,0,0,0,0,0,0,0,0
19/7/2020,0,0,0,0,0,0,0,0,0,0
20/7/2020,0,0,0,0,0,0,0,0,0,0
21/7/2020,0,0,0,0,0,0,0,0,0,0
22/7/2020,0,0,0,0,0,0,0,0,0,0
23/7/2020,0,0,0,0,0,0,0,0,0,0
24/7/2020,0,0,0,0,0,0,0,0,0,0
25/7/2020,0,0,0,0,0,0,0,0,0,0
26/7/2020,0,0,0,0,0,0,0,0,0,0
27/7/2020,0,0,0,0,0,0,0,0,0,0
28/7/2020,0,0,0,0,0,0,0,0,0,0
29/7/2020,0,0,0,0,0,0,0,0,0,0
30/7/2020,0,0,0,0,0,0,0,0,0,0
31/7/2020,0,0,0,0,0,0,0,0,0,0
1/8/2020,0,0,0,0,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0,0,0,0,0
3/8/2020,0,0,0,0,0,0,0,0,0,0
4/8/2020,0,0,0,0,0,0,0,0,0,0
5/8/2020,0,0,0,0,0,0,0,0,0,0
6/8/2020,0,0,0,0,0,0,0,0,0,0
7/8/2020,0,0,0,0,0,0,0,0,0,0
8/8/2020,0,0,0,0,0,0,0,0,0,0
9/8/2020,0,0,0,0,0,0,0,0,0,0
10/8/2020,0,0,0,0,0,0,0,0,0,0
11/8/2020,0,0,0,0,0,0,0,0,0,0
12/8/2020,0,0,0,0,0,0,0,0,0,0
13/8/2020,0,0,0,0,0,0,0,0,0,0
14/8/2020,0,0,0,0,0,0,0,0,0,0
15/8/2020,0,0,0,0,0,0,0,0,0,0
16/8/2020,0,0,0,0,0,0,0,0,0,0
17/8/2020,0,0,0,0,0,0,0,0,0,0
18/8/2020,0,0,0,0,0,0,0,0,0,0
19/8/2020,0,0,0,0,0,0,0,0,0,0
20/8/2020,0,0,0,0,0,0,0,0,0,0
21/8/2020,0,10,18,0,0,0,0,0,1,0
22/8/2020,0,10,18,0,0,0,0,0,1,0
23/8/2020,0,10,18,0,1,0,0,0,1,0
24/8/2020,0,10,18,0,1,0,0,0,1,0
25/8/2020,0,12,18,0,1,0,0,0,1,0
26/8/2020,0,12,18,0,1,0,0,0,1,0
27/8/2020,0,12,17,0,1,0,0,0,1,0
28/8/2020,0,13,4,0,1,0,0,0,0,0
29/8/2020,0,13,4,0,1,0,0,0,0,0
30/8/2020,0,13,4,0,1,0,0,0,0,0
31/8/2020,0,13,4,0,1,0,0,0,0,0
1/9/2020,0,14,2,0,1,0,0,0,0,0
2/9/2020,0,11,0,0,1,0,0,0,0,0
3/9/2020,0,4,1,0,1,0,0,0,0,0
4/9/2020,0,4,1,0,1,0,0,0,0,0
5/9/2020,0,4,1,0,1,0,0,0,0,0
6/9/2020,0,4,1,0,1,0,0,0,0,0
7/9/2020,0,0,0,0,0,0,0,0,0,0
8/9/2020,0,0,0,0,0,0,0,0,0,0
9/9/2020,0,0,0,0,0,0,0,0,0,0
10/9/2020,0,0,0,0,0,0,0,0,0,0
11/9/2020,0,0,0,0,0,0,0,0,0,0
12/9/2020,0,0,0,0,0,0,0,0,0,0
13/9/2020,0,0,0,0,0,0,0,0,0,0
14/9/2020,0,0,0,0,0,0,0,0,0,0
15/9/2020,0,0,0,0,0,0,0,0,0,0
16/9/2020,0,0,0,0,0,0,0,0,0,0
17/9/2020,0,0,0,0,0,0,0,0,0,0
18/9/2020,0,0,0,0,0,0,0,0,0,0
19/9/2020,0,0,0,0,0,0,0,0,0,0
20/9/2020,0,0,0,0,0,0,0,0,0,0
21/9/2020,0,0,0,0,0,0,0,0,0,0
22/9/2020,0,0,0,0,0,0,0,0,0,0
23/9/2020,0,0,0,0,0,0,0,0,0,0
