date,total_tests,a,total_recovered,deaths,active_cases,respiratory_aid,inICU
29/03/2020,35516,2470,320,27,,,73
29/03/2020,37674,2470,388,34,,,73
30/03/2020,39663,2626,479,37,,,94
31/03/2020,40483,2766,537,43,,,94
01/04/2020,43462,2908,645,45,,,102
02/04/2020,45378,3116,767,50,,,105
03/04/2020,47723,3333,827,53,,,108
04/04/2020,49570,3483,915,57,,,99
05/04/2020,51937,3662,1005,61,,,99
06/04/2020,55566,3793,1241,62,,,102
06/04/2020,51937,3662,1005,61,,,99
06/04/2020,51937,3793,1005,61,,,99
06/04/2020,55566,3793,1241,62,,,102
07/04/2020,52485,3963,1321,63,,,92
08/04/2020,58240,4119,1487,65,,,76
09/04/2020,63367,4228,1608,67,,,72
10/04/2020,67951,4346,1830,70,,,69
11/04/2020,71897,4530,1995,73,,,72
12/04/2020,77491,4683,2108,73,,,72
12/04/2020,77491,4683,2108,76,,,66
13/04/2020,81730,4817,2276,77,,,66
15/04/2020,87183,5072,2647,83,,,56
17/04/2020,90562,5182,2766,83,,,56
17/04/2020,90562,5182,2766,84,,,56
17/04/2020,96695,5251,2967,86,,,51
18/04/2020,100794,5305,3102,88,,,49
19/04/2020,103892,5389,3102,88,,,49
19/04/2020,103892,5389,3197,89,,,46
20/04/2020,108216,5425,3295,89,,,45
22/04/2020,108273,5482,3295,89,,,45
22/04/2020,110109,5482,3349,92,,,43
22/04/2020,113755,5532,3452,93,,,43
23/04/2020,117406,5603,3542,93,,,42
23/04/2020,117406,5603,3542,95,,,42
24/04/2020,121722,5691,3663,96,,,41
25/04/2020,126970,5742,3762,96,,,41
25/04/2020,126970,5742,3762,98,,,36
26/04/2020,131491,5780,3862,98,,,36
27/04/2020,138898,5820,3957,99,,,37
28/04/2020,146799,5851,4032,100,,,36
29/04/2020,154203,5945,4087,100,,,40
01/05/2020,168784,6071,4210,103,,,37
02/05/2020,184213,6176,4326,103,,,31
03/05/2020,195833,6298,4413,105,,,27
04/05/2020,205598,6353,4484,105,,,28
05/05/2020,213220,6383,4567,106,,,24
06/05/2020,222150,6428,4702,107,,,22
07/05/2020,231019,6467,4776,107,,,19
08/05/2020,231087,6535,4776,107,,,19
08/05/2020,239628,6535,4776,107,,,19
08/05/2020,239628,6535,4864,107,,,18
10/05/2020,239749,6656,4864,107,,,18
10/05/2020,256937,6656,5025,108,,,18
11/05/2020,266048,6726,5113,109,,,20
16/05/2020,266194,6872,5113,109,,,20
16/05/2020,434136,6872,5512,113,,,13
17/05/2020,434158,6894,5512,113,,,13
17/05/2020,443263,6894,5571,113,,,13
20/05/2020,,7009,5706,114,1189,7,11
21/05/2020,,7059,5796,114,1149,7,10
22/05/2020,,7137,5859,114,1163,5,9
22/05/2020,,7137,5859,115,1163,5,9
23/05/2020,,7185,5912,115,1158,5,9
24/05/2020,,7245,5945,115,1185,4,9
25/05/2020,,7417,5979,115,1323,4,8
26/05/2020,,7604,6041,115,1448,5,8
27/05/2020,,7619,6083,115,1421,4,8
28/05/2020,,7629,6169,115,1345,4,8
29/05/2020,,7732,6235,115,1382,2,8
30/05/2020,,7762,6330,115,1317,2,9
31/05/2020,,7819,6353,115,1351,2,9
01/06/2020,,115,7857,6404,1338,2,8
02/06/2020,,7877,6470,115,1262,2,6
03/06/2020,,7970,6531,115,1324,2,6
04/06/2020,,7970,6559,115,1573,2,6
05/06/2020,,8266,6610,116,1540,1,6
06/06/2020,,8303,6635,117,1552,0,5
07/06/2020,,8322,6674,117,1531,0,5
08/06/2020,,8329,6694,117,1581,1,6
09/06/2020,,8336,6975,117,1244,1,6
10/06/2020,,8336,7014,117,1206,1,5
10/06/2020,,8336,7014,118,1206,0,5
11/06/2020,,83369,7065,118,1206,0,5
11/06/2020,,83369,7065,118,1186,0,5
11/06/2020,,8369,7065,118,1186,0,5
12/06/2020,,8369,7065,118,1186,5,0
12/06/2020,,8402,7168,119,1115,4,0
13/06/2020,,8445,7311,119,1014,4,0
13/06/2020,,8445,7311,120,1014,4,0
14/06/2020,,8453,7346,121,986,4,0
15/06/2020,,8494,7346,121,986,4,0
15/06/2020,,8494,7400,121,973,4,0
16/06/2020,,8505,7733,121,651,4,0
17/06/2020,,8515,7873,121,521,4,0
18/06/2020,,8529,7873,121,521,4,0
18/06/2020,,8529,8000,121,408,4,0
19/06/2020,,8535,8070,121,344,3,0
21/06/2020,,8556,8146,121,289,3,0
21/06/2020,,8572,8156,121,295,3,0
21/06/2020,,8572,8156,121,295,0,3
22/06/2020,,8572,8177,121,295,0,3
22/06/2020,,8587,8177,121,289,0,2
23/06/2020,,8590,8186,121,283,0,3
24/06/2020,,8596,8231,121,244,0,2
25/06/2020,,8600,8271,121,208,0,2
25/06/2020,,8600,168,8271,208,1,0
25/06/2020,,8600,8271,121,208,0,2
26/06/2020,,8606,8294,121,191,0,2
27/06/2020,,8616,8308,121,191,0,2
27/06/2020,,8616,8308,121,187,0,2
28/06/2020,,8634,8318,121,195,0,2
29/06/2020,,8637,8334,121,182,1,4
30/06/2020,,8639,8354,121,164,1,4
30/06/2020,,8639,8354,121,164,1,4
01/07/2020,,8640,8375,121,144,1,4
01/07/2020,,8640,8375,121,144,2,4
02/07/2020,,8643,8437,121,85,2,2
02/07/2020,,8643,8437,121,85,2,2
03/07/2020,,8648,8437,121,85,2,2
03/07/2020,,8648,8446,121,81,2,2
04/07/2020,,8658,8461,121,81,2,2
04/07/2020,,8658,8461,121,76,2,2
05/07/2020,,8663,8465,121,77,2,2
05/07/2020,,8663,8465,121,77,2,2
05/07/2020,,8653,8465,121,77,2,2
05/07/2020,,8663,8465,121,77,2,2
06/07/2020,,8668,8476,121,71,2,2
07/07/2020,,8674,8481,121,72,2,2
08/07/2020,,8677,8481,121,72,2,2
08/07/2020,,8677,8486,121,70,1,2
09/07/2020,,8683,8499,121,63,1,2
10/07/2020,,8696,8511,121,64,2,2
11/07/2020,,8704,8511,121,64,2,2
11/07/2020,,8704,8515,122,67,2,3
12/07/2020,,8718,8519,122,67,2,3
12/07/2020,,8718,8519,122,77,2,3
13/07/2020,,8725,8520,122,83,3,4
14/07/2020,,8729,8524,122,83,2,6
15/07/2020,,8734,8526,122,86,1,5
16/07/2020,,8737,8538,122,86,1,5
16/07/2020,,8737,8538,122,77,1,3
17/07/2020,,8755,8538,122,77,1,3
17/07/2020,,8755,8541,122,92,0,3
18/07/2020,,8764,8541,122,92,0,3
18/07/2020,,8764,8546,122,96,0,1
20/07/2020,,8779,8553,123,103,1,2
20/07/2020,,8800,8555,123,122,1,3
21/07/2020,,8815,8562,123,130,1,4
22/07/2020,,8831,8566,123,142,1,5
23/07/2020,,8840,8574,123,143,2,5
24/07/2020,,8861,8577,123,143,2,5
24/07/2020,,8861,8577,123,161,2,5
25/07/2020,,8884,8594,123,161,2,5
25/07/2020,,8884,8594,123,167,2,3
26/07/2020,,8897,8600,124,173,1,2
27/07/2020,,8804,8601,124,179,1,2
27/07/2020,,8904,8601,124,179,0,0
28/07/2020,,8943,8607,124,212,1,1
29/07/2020,,8956,8612,124,220,1,2
30/07/2020,,8964,8617,124,223,1,3
31/07/2020,,8976,8644,124,207,1,3
31/07/2020,,8976,8644,125,207,1,3
01/08/2020,,8985,8644,125,207,1,3
01/08/2020,,8985,8647,125,213,1,2
02/08/2020,,8999,8664,125,210,1,2
02/08/2020,,8999,8664,125,210,1,2
03/08/2020,,9001,8668,125,208,0,1
04/08/2020,,9002,8668,125,208,0,1
04/08/2020,,9002,8684,125,193,0,0
05/08/2020,,9023,8702,125,196,0,2
06/08/2020,,9038,8713,125,200,1,2
07/08/2020,,9063,8728,125,210,1,2
08/08/2020,,9070,8775,125,170,1,2
09/08/2020,,9083,8784,125,174,0,1
10/08/2020,,9094,8803,125,166,0,1
11/08/2020,,9103,8809,125,169,0,2
12/08/2020,,9114,8809,125,169,0,2
12/08/2020,,9114,8817,125,172,0,1
13/08/2020,,9129,8817,125,172,0,1
13/08/2020,,9129,8821,125,183,0,2
14/08/2020,,9149,8828,125,196,1,4
15/08/2020,,9175,8831,125,219,1,6
15/08/2020,,9175,8831,125,219,1,6
16/08/2020,,9200,8859,125,216,2,7
17/08/2020,,9212,8876,125,211,2,8
18/08/2020,,9219,8902,125,192,2,8
19/08/2020,,9235,8925,125,192,2,8
19/08/2020,,9235,8925,125,185,3,7
20/08/2020,,9240,8925,125,185,3,7
20/08/2020,,9240,8932,125,183,4,7
21/08/2020,,9240,8932,125,183,4,7
21/08/2020,,9249,8945,125,179,4,7
22/08/2020,,9257,8949,125,183,4,8
23/08/2020,,9267,8959,125,183,4,9
24/08/2020,,9274,8965,125,184,5,8
25/08/2020,,9285,8971,125,189,6,8
26/08/2020,,9291,8978,125,188,6,9
27/08/2020,,9291,8978,125,188,6,9
27/08/2020,,9291,8994,125,188,6,9
27/08/2020,,9296,8994,125,177,6,8
28/08/2020,,9306,9030,125,151,6,8
29/08/2020,,9317,9038,125,154,6,8
30/08/2020,,9334,9048,126,160,5,7
31/08/2020,,9340,9054,127,159,4,6
01/09/2020,,9354,9075,128,151,3,5
01/09/2020,,9354,9075,128,151,3,5
02/09/2020,,9354,9075,128,151,3,5
02/09/2020,,9360,9079,128,153,3,4
03/09/2020,,9374,9083,128,163,3,4
04/09/2020,,9385,9092,128,163,3,4
04/09/2020,,9385,9092,128,165,3,4
04/09/2020,,9385,9092,128,165,3,4
05/09/2020,,9391,9113,128,150,3,5
06/09/2020,,9397,9115,128,154,3,6
07/09/2020,,9459,9124,128,207,4,6
08/09/2020,,9559,9136,128,295,4,7
09/09/2020,,9583,9143,128,312,4,7
10/09/2020,,9628,9167,128,333,5,9
11/09/2020,,9810,9167,128,333,5,9
11/09/2020,,9810,9181,128,501,5,9
12/09/2020,,9868,9181,128,501,5,9
12/09/2020,,9868,9189,128,551,5,9
13/09/2020,,9915,9189,128,551,5,9
13/09/2020,,9915,9196,128,591,4,9
14/09/2020,,9946,9203,128,615,5,11
15/09/2020,,9969,9209,128,632,4,14
16/09/2020,,10031,9235,128,668,3,15
