date,total_tests,total_infected,total_recovered,deaths,active_cases,respiratory_aid
2020-01-22,,0.0,,0.0,,
2020-01-23,,0.0,,0.0,,
2020-01-24,,0.0,,0.0,,
2020-01-25,,3.0,,0.0,,
2020-01-26,,4.0,,0.0,,
2020-01-27,,4.0,,0.0,,
2020-01-28,,4.0,,0.0,,
2020-01-29,,7.0,,0.0,,
2020-01-30,,8.0,,0.0,,
2020-01-31,,8.0,,0.0,,
2020-02-01,,8.0,,0.0,,
2020-02-02,,8.0,,0.0,,
2020-02-03,,8.0,,0.0,,
2020-02-04,,10.0,,0.0,,
2020-02-05,,12.0,,0.0,,
2020-02-06,,12.0,,0.0,,
2020-02-07,,12.0,1.0,0.0,,
2020-02-08,,16.0,1.0,0.0,,
2020-02-09,,16.0,1.0,0.0,,
2020-02-10,,18.0,1.0,0.0,,
2020-02-11,,18.0,3.0,0.0,,
2020-02-12,,18.0,3.0,0.0,,
2020-02-13,,19.0,3.0,0.0,,
2020-02-14,653.0,19.0,3.0,0.0,,
2020-02-15,,22.0,7.0,0.0,,
2020-02-16,656.0,22.0,7.0,0.0,,
2020-02-17,757.0,22.0,7.0,0.0,,
2020-02-18,797.0,22.0,13.0,0.0,,
2020-02-19,,22.0,15.0,0.0,,
2020-02-20,880.0,22.0,15.0,0.0,,
2020-02-21,968.0,22.0,15.0,0.0,,
2020-02-22,,22.0,15.0,0.0,,
2020-02-23,1028.0,22.0,15.0,0.0,,
2020-02-24,1054.0,22.0,18.0,0.0,,
2020-02-25,1067.0,22.0,18.0,0.0,,
2020-02-26,1091.0,22.0,18.0,0.0,,
2020-02-27,1545.0,23.0,18.0,0.0,,
2020-02-28,1548.0,23.0,18.0,0.0,,
2020-02-29,,25.0,18.0,0.0,,
2020-03-01,,29.0,18.0,0.0,,
2020-03-02,1739.0,29.0,18.0,0.0,,
2020-03-03,,36.0,22.0,,,
2020-03-04,1983.0,50.0,22.0,0.0,,
2020-03-05,,50.0,22.0,0.0,,
2020-03-06,,83.0,22.0,0.0,,
2020-03-07,,93.0,23.0,0.0,,
2020-03-08,,99.0,24.0,0.0,,
2020-03-09,2686.0,117.0,24.0,0.0,,
2020-03-10,,129.0,24.0,0.0,,
2020-03-11,3573.0,149.0,26.0,0.0,,
2020-03-12,3691.0,149.0,26.0,0.0,,
2020-03-13,,197.0,26.0,0.0,,
2020-03-14,4899.0,238.0,35.0,0.0,,
2020-03-15,,428.0,42.0,0.0,,
2020-03-16,,566.0,42.0,0.0,,
2020-03-17,6842.0,673.0,49.0,2.0,,
2020-03-18,,790.0,60.0,2.0,,
2020-03-19,8873.0,900.0,75.0,2.0,,
2020-03-20,10143.0,1030.0,87.0,3.0,,
2020-03-21,,1183.0,114.0,4.0,,
2020-03-22,11275.0,1306.0,139.0,10.0,,
2020-03-23,13110.0,1518.0,139.0,14.0,,
2020-03-24,13594.0,1624.0,183.0,16.0,,
2020-03-25,15820.0,1796.0,199.0,20.0,,
2020-03-26,16983.0,2031.0,215.0,23.0,,
2020-03-27,24168.0,2161.0,259.0,26.0,,
2020-03-28,29461.0,2320.0,320.0,27.0,,
2020-03-29,,2470.0,388.0,35.0,,
2020-03-30,31206.0,2626.0,479.0,37.0,,
2020-03-31,32264.0,2766.0,537.0,43.0,,
2020-04-01,35802.0,2908.0,645.0,45.0,,
2020-04-02,37599.0,3116.0,767.0,50.0,,
2020-04-03,39458.0,3333.0,827.0,53.0,,
2020-04-04,40923.0,3483.0,915.0,57.0,,
2020-04-05,43539.0,3662.0,1005.0,61.0,,
2020-04-06,47457.0,3793.0,1241.0,62.0,,
2020-04-07,52485.0,3963.0,1321.0,63.0,,
2020-04-08,58240.0,4119.0,1487.0,65.0,,
2020-04-09,63367.0,4228.0,1608.0,67.0,,
2020-04-10,67951.0,4346.0,1830.0,70.0,,
2020-04-11,71897.0,4530.0,1995.0,73.0,,
2020-04-12,77491.0,4683.0,2108.0,76.0,,
2020-04-13,81730.0,4817.0,2276.0,77.0,,
2020-04-14,84791.0,4987.0,2478.0,82.0,,
2020-04-15,87183.0,5072.0,2647.0,83.0,,
2020-04-16,,5182.0,2766.0,84.0,,
2020-04-17,96695.0,5251.0,2967.0,86.0,,
2020-04-18,100794.0,5305.0,3102.0,88.0,,
2020-04-19,103892.0,5389.0,3197.0,89.0,,
2020-04-20,108216.0,5425.0,3295.0,89.0,,
2020-04-21,,5482.0,3349.0,92.0,,
2020-04-22,113755.0,5532.0,3452.0,93.0,,
2020-04-23,117406.0,5603.0,3542.0,95.0,,
2020-04-24,121722.0,5691.0,3663.0,96.0,,
2020-04-25,126970.0,5742.0,3762.0,98.0,,
2020-04-26,131491.0,5780.0,3862.0,98.0,,
2020-04-27,138898.0,5820.0,3957.0,99.0,,
2020-04-28,146799.0,5851.0,4032.0,100.0,,
2020-04-29,154203.0,5945.0,4087.0,100.0,,
2020-04-30,,6002.0,4171.0,102.0,,
2020-05-01,168784.0,6071.0,4210.0,103.0,,
2020-05-02,184213.0,6176.0,4326.0,103.0,,
2020-05-03,195833.0,6298.0,4413.0,105.0,,
2020-05-04,205598.0,6353.0,4484.0,105.0,,
2020-05-05,213220.0,6383.0,4567.0,106.0,,
2020-05-06,222150.0,6428.0,4702.0,107.0,,
2020-05-07,231019.0,6467.0,4776.0,107.0,,
2020-05-08,239628.0,6535.0,4864.0,107.0,,
2020-05-09,,6589.0,4929.0,108.0,,
2020-05-10,256937.0,6656.0,5025.0,108.0,,
2020-05-11,266048.0,6726.0,5113.0,109.0,,
2020-05-12,,6742.0,5223.0,109.0,,
2020-05-13,,6779.0,5281.0,111.0,,
2020-05-14,297342.0,6819.0,5351.0,112.0,,
2020-05-15,424306.0,6855.0,5439.0,112.0,,
2020-05-16,434136.0,6872.0,5512.0,113.0,,
2020-05-17,443263.0,6894.0,5571.0,113.0,,
2020-05-18,,6941.0,5615.0,113.0,,
2020-05-19,462257.0,6978.0,5646.0,114.0,,
2020-05-20,471318.0,7009.0,5706.0,114.0,,
2020-05-21,481411.0,7059.0,5796.0,114.0,,
2020-05-22,491729.0,7137.0,5859.0,115.0,,
2020-05-23,500469.0,7185.0,5912.0,115.0,,
2020-05-24,507682.0,7245.0,5945.0,115.0,,
2020-05-25,513370.0,7417.0,5979.0,115.0,,
2020-05-26,519944.0,7604.0,6041.0,115.0,,
2020-05-27,,7619.0,6083.0,115.0,,
2020-05-28,530501.0,7629.0,6169.0,115.0,,
2020-05-29,537894.0,7732.0,6235.0,115.0,,
2020-05-30,546368.0,7762.0,6330.0,115.0,,
2020-05-31,553183.0,7819.0,6353.0,115.0,,
2020-06-01,560738.0,7857.0,6404.0,115.0,,
2020-06-02,567287.0,7877.0,6470.0,115.0,,
2020-06-03,575505.0,7970.0,6531.0,115.0,,
2020-06-04,582486.0,8247.0,6559.0,115.0,,
2020-06-05,590613.0,8266.0,6610.0,116.0,,
2020-06-06,599454.0,8303.0,6635.0,117.0,,
2020-06-07,,8322.0,6674.0,117.0,,
2020-06-08,614239.0,8329.0,6694.0,117.0,,
2020-06-09,620320.0,8336.0,6975.0,117.0,,
2020-06-10,625775.0,8338.0,7014.0,118.0,,
2020-06-11,631608.0,8369.0,7065.0,118.0,,
2020-06-12,640680.0,8402.0,7168.0,119.0,,
2020-06-13,646055.0,8445.0,7311.0,120.0,,
2020-06-14,651344.0,8453.0,7346.0,121.0,,
2020-06-15,656210.0,8494.0,7400.0,121.0,,
2020-06-16,659632.0,8505.0,7733.0,121.0,,
2020-06-17,664334.0,8515.0,7873.0,121.0,,
2020-06-18,669589.0,8529.0,8000.0,121.0,,
2020-06-19,674551.0,8535.0,8070.0,121.0,,
2020-06-20,679826.0,8556.0,8146.0,121.0,,
2020-06-21,683968.0,8572.0,8156.0,121.0,,
2020-06-22,686905.0,8587.0,8177.0,121.0,,
2020-06-23,693603.0,8590.0,8186.0,121.0,,
2020-06-24,704336.0,8596.0,8231.0,121.0,,
2020-06-25,716178.0,8600.0,8271.0,121.0,,
2020-06-26,729116.0,8606.0,8294.0,121.0,,
2020-06-27,739458.0,8616.0,8308.0,121.0,,
2020-06-28,749950.0,8634.0,8318.0,121.0,,
2020-06-29,756171.0,8637.0,8334.0,121.0,,
2020-06-30,764999.0,8639.0,8354.0,121.0,,
2020-07-01,773911.0,8640.0,8375.0,121.0,,
2020-07-02,782638.0,8643.0,8437.0,121.0,,
2020-07-03,790859.0,8648.0,8446.0,121.0,,
2020-07-04,797796.0,8658.0,8461.0,121.0,,
2020-07-05,804518.0,8663.0,8465.0,121.0,,
2020-07-06,810057.0,8668.0,8476.0,121.0,,
2020-07-07,816118.0,8674.0,8481.0,121.0,,
2020-07-08,822646.0,8677.0,8486.0,121.0,,
2020-07-09,829988.0,8683.0,8499.0,121.0,,
2020-07-10,836255.0,8696.0,8511.0,121.0,,
2020-07-11,842476.0,8704.0,8515.0,122.0,,
2020-07-12,847510.0,8718.0,8519.0,122.0,,
2020-07-13,850423.0,8725.0,8520.0,122.0,,
2020-07-14,855119.0,8729.0,8524.0,122.0,,
2020-07-15,861896.0,8734.0,8526.0,122.0,,
2020-07-16,868394.0,8737.0,8538.0,122.0,,
2020-07-17,876222.0,8755.0,8541.0,122.0,,
2020-07-18,884170.0,8764.0,8546.0,122.0,,
2020-07-19,889744.0,8779.0,8553.0,123.0,,
2020-07-20,895758.0,8800.0,8555.0,123.0,,
2020-07-21,902439.0,8815.0,8562.0,123.0,,
2020-07-22,909627.0,8831.0,8566.0,123.0,,
2020-07-23,916340.0,8840.0,8574.0,123.0,,
2020-07-24,925188.0,8861.0,8577.0,123.0,,
2020-07-25,932397.0,8884.0,8594.0,123.0,,
2020-07-26,937645.0,8897.0,8600.0,124.0,,
2020-07-27,943244.0,8904.0,8601.0,124.0,,
2020-07-28,949141.0,8943.0,8607.0,124.0,,
2020-07-29,955133.0,8956.0,8612.0,124.0,,
2020-07-30,963079.0,8964.0,8617.0,124.0,,
2020-07-31,970644.0,8976.0,8644.0,125.0,,
2020-08-01,974674.0,8985.0,8647.0,125.0,,
2020-08-02,979178.0,8999.0,8664.0,125.0,,
2020-08-03,983297.0,9001.0,8668.0,125.0,,
2020-08-04,991333.0,9002.0,8684.0,125.0,,
2020-08-05,1001090.0,9023.0,8702.0,125.0,,
2020-08-06,1012660.0,9038.0,8713.0,125.0,,
2020-08-07,1024719.0,9063.0,8728.0,125.0,,
2020-08-08,1036339.0,9070.0,8775.0,125.0,,
2020-08-09,1045976.0,9083.0,8784.0,125.0,,
2020-08-10,1053531.0,9094.0,8803.0,125.0,,
2020-08-11,1063304.0,9103.0,8809.0,125.0,,
2020-08-12,1074020.0,9114.0,8817.0,125.0,,
2020-08-13,1085040.0,9129.0,8821.0,125.0,,
2020-08-14,1095768.0,9149.0,8828.0,125.0,,
2020-08-15,1106217.0,9175.0,8831.0,125.0,,
2020-08-16,1114246.0,9200.0,8859.0,125.0,,
2020-08-17,1120666.0,9212.0,8876.0,125.0,,
2020-08-18,1129091.0,9219.0,8902.0,125.0,,
2020-08-19,1141679.0,9235.0,8925.0,125.0,,
2020-08-20,1152140.0,9240.0,8932.0,125.0,,
2020-08-21,1160390.0,9249.0,8945.0,125.0,,
2020-08-22,1167949.0,9257.0,8949.0,125.0,,
2020-08-23,1176416.0,9267.0,8959.0,125.0,,
2020-08-24,1182845.0,9274.0,8965.0,125.0,,
2020-08-25,1191500.0,9285.0,8971.0,125.0,,
2020-08-26,1202764.0,9291.0,8978.0,125.0,,
2020-08-27,1212790.0,9296.0,8994.0,125.0,,
2020-08-28,1222854.0,9306.0,9030.0,125.0,,
2020-08-29,1232927.0,9317.0,9038.0,125.0,,
2020-08-30,1243540.0,9334.0,9048.0,126.0,,
2020-08-31,1253855.0,9340.0,9054.0,127.0,,
2020-09-01,1262848.0,9354.0,9075.0,128.0,,
2020-09-02,1270229.0,9360.0,9079.0,128.0,,
2020-09-03,1280878.0,9374.0,9083.0,128.0,,
2020-09-04,1290602.0,9385.0,9092.0,128.0,,
2020-09-05,1299724.0,9391.0,9113.0,128.0,,
2020-09-06,1307454.0,9397.0,9115.0,128.0,,
2020-09-07,1313774.0,9459.0,9124.0,128.0,,
2020-09-08,1322445.0,9559.0,9136.0,128.0,,
2020-09-09,1332917.0,9583.0,9143.0,128.0,,
2020-09-10,1342472.0,9628.0,9167.0,128.0,,
2020-09-11,1353826.0,9810.0,9181.0,128.0,,
2020-09-12,1362631.0,9868.0,9189.0,128.0,,
2020-09-13,1372154.0,9915.0,9196.0,128.0,,
2020-09-14,1383769.0,9946.0,9203.0,128.0,,
2020-09-15,1395578.0,9969.0,9209.0,128.0,,
